year,value,units,variable_code
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 3,AA32,"Agriculture
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
2023,Level 1,BB,Mining
